ID	Cele.CC1.wo.FLT.Rep1	Cele.CC1.wo.FLT.Rep2	Cele.CC1.wo.FLT.Rep3	Cele.CC1.wo.GC.Rep1	Cele.CC1.wo.GC.Rep2	Cele.CC1.wo.GC.Rep3
186557_at	3.84469439103556	3.75378070039275	3.88567267374894	3.71623317996785	3.84282109091758	3.74446987539068
186558_at	4.91447368104688	5.29108138051022	5.29665699447515	5.43274565140645	5.58248357018359	5.82899614367886
186559_at	3.20326561141626	3.29204014976689	3.20898040227507	3.30270646846738	3.50364448725798	3.2894812383913
186560_at	7.93977489152356	7.72009605943842	7.91577645921769	7.93914639275467	7.89821853759596	8.18231681771752
186561_at	3.16729867534836	3.13202451754129	3.34773237618089	3.39529742226421	3.40779103591727	3.47076392177743
186562_s_at	7.25061378642796	7.17963697465458	7.14111569375628	7.0970040823248	6.81080291654858	7.00093110812
186563_at	4.22621167360577	4.23187344100835	4.10194132680302	4.07148224247664	4.6887697804595	4.48305287557322
186564_at	4.41132978800235	4.30494899651556	4.79248864545633	4.53068487644561	4.55035174707852	4.60846714751104
186565_s_at	3.56119399629816	3.62824509198059	3.6843537925171	3.62965922803976	3.58292422727068	3.61062165276828
186566_s_at	8.31803531401695	8.19895906593477	8.45968908038035	6.91313818938055	6.82700197959462	6.54205268106798
186567_at	3.57454067801146	3.70181966380717	3.51584648935619	3.68965002141473	3.78839302658775	3.63337570517333
186568_s_at	5.39409584436906	5.33632598913664	5.43969141493027	6.20163989340892	6.22627294570515	6.37866092188519
186569_at	11.0713759366945	11.4083450459823	11.4758856104237	10.7100053217095	10.5988741685924	11.2569623895133
186570_at	4.26129220515675	4.19580966656622	4.31566127783006	4.19987512086582	4.64349137246257	4.46416563459653
186571_at	4.72051301973579	4.88145567638717	4.5387300209781	4.34127730623382	4.19836165862515	4.51140026431706
186572_at	4.7266207359533	4.81655706027183	4.89428508257575	4.84012578178372	4.95183969284297	4.91893107989606
186573_at	4.23031388996954	4.04858531769484	4.14907135594421	4.57371736716909	4.87340632081856	4.7172979232811
186574_at	4.70778952085415	4.4442532667375	4.42108019282343	4.51168700040468	4.66387114141514	4.64403572409415
186575_s_at	10.1029316839877	9.84080477862665	9.8628125471197	9.74211594181532	9.35962190106653	9.44470444846798
186576_at	3.59286574931359	3.64431197428173	3.62710241030822	4.05607565477619	4.06899630659462	4.00640108559422
186577_at	4.62190091431703	4.79759609588024	5.02758599365212	4.88939430169867	5.02572670025816	5.08886260322507
186578_at	3.25711032817239	3.44410592082875	3.35116637307821	3.42843975426953	3.54839930291454	3.54214874692817
186579_at	6.52957079554181	5.84483216182706	5.67210777348065	6.11884300618317	6.04956344352041	5.8500246314958
186580_s_at	5.50929893725964	5.33178486180891	5.30880331129015	6.15917371528027	5.46360763972067	5.70766327177751
186581_at	7.52765732868672	7.39889670517708	7.83942153477764	7.12180639272932	7.04170086872094	7.30175880298974
186582_s_at	7.06541750326119	7.06735912749972	6.44761121628898	6.08116012525487	6.17412805979623	6.05346291004643
186583_at	3.60770003111776	3.85370986646536	4.07245481994401	4.00466513850784	4.15619694209298	4.01968007492314
186584_s_at	4.87742064878095	4.86796349428549	4.77882433824706	4.57419741451346	4.64701292689319	4.5495974299537
186585_at	3.26904245877048	3.31423714059078	3.44213900953566	3.74318703072624	3.47195472134658	3.52148192557818
186586_at	4.07089231103917	3.89129867055992	3.80113106317105	3.81377541467078	3.87892419350327	3.84998819854538
186587_s_at	6.07585926609153	5.63333083573934	6.06273744899823	5.2672634601005	5.29039669240148	5.14438830916906
186588_at	9.25179356424208	9.20723439347667	9.31831774741343	9.02500220593855	8.67674093916407	9.02740221317726
186589_at	4.00899012575038	4.19103656926274	4.29033439665737	4.4854404259862	4.43956998656163	4.61225888293736
186590_at	2.88299446926271	2.8308756950678	2.98106941438189	2.87428920792908	2.93096785556267	2.92821997430918
186591_at	3.51291809312138	3.75228067817015	3.73666358467211	3.84936751633708	3.80249372438701	3.67310170031195
186592_at	4.67298963884669	4.45952879440779	4.54502902708337	4.67813780493305	4.45136147748548	4.7279603813592
186593_at	3.9828880825083	4.14468067625836	4.16559201239594	4.17589254751332	4.20507487316169	4.5082641667394
186594_at	3.67609259510189	3.84485914339513	3.75983122013429	3.6870409865644	3.96897292823684	3.92581692732867
