Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
2709		15.96	A	0.988
13981	1.067	"2,420"	P	1.067
7693	1.369	27.97	P	1.369
21972	0.495	43.13	P	0.495
6530		4.414	A	1.406
30947	0.667	"2,732"	P	0.667
13091	0.795	"3,078"	P	0.795
21837	1.54	209.6	P	1.54
9071		10.63	A	1.547
6157	1.207	589.6	P	1.207
14788	2.187	936	P	2.187
14379		4.103	A	0.262
5548		4.748	A	1.496
22261	2.537	275.5	P	2.537
3613	1.391	92.7	P	1.391
3035	1.143	111.3	P	1.143
6831	0.644	"5,139"	P	0.644
823	1.652	77.56	P	1.652
12245	1.329	"1,902"	P	1.329
27620		4.217	A	1.164
3709	1.105	"5,926"	P	1.105
20688	2.321	486	P	2.321
25612	1.099	639.4	P	1.099
6263	0.676	"1,876"	P	0.676
17927	0.965	709.7	P	0.965
29329		7.214	A	0.215
3325		5.663	A	1.754
18840	1.046	"1,600"	P	1.046
20882	1.021	"2,964"	P	1.021
18614	0.501	721.3	P	0.501
37299	1.013	26.48	P	1.013
25228	1.104	"1,829"	P	1.104
5886	1.308	870.5	P	1.308
15422	1.418	"106,426"	P	1.418
3960	1.101	"4,807"	P	1.101
9355	2.616	303.1	P	2.616
14764	0.71	403.9	P	0.71
9685		4.16	A	1.377
31185	1.405	117.8	P	1.405
1966	1.497	236.3	P	1.497
14870		7.073	A	1.192
18458		4.349	A	1.612
8752	1.006	"1,898"	P	1.006
19307	0.818	74.91	P	0.818
21594	1.232	862.1	P	1.232
27999	1.416	"13,193"	P	1.416
8223	1.02	43.73	P	1.02
19624	0.859	"1,526"	P	0.859
23780	0.89	528.1	P	0.89
17608		4.992	A	0.771
34399	0.977	125.3	P	0.977
36726	0.921	"2,564"	P	0.921
26137		4.079	A	1.401
13331	1.292	75.21	P	1.292
12002	1.949	"2,556"	P	1.949
38253	0.783	"2,956"	P	0.783
31685	0.737	199.6	P	0.737
12994	2.366	21.43	P	2.366
14332	1.083	"3,736"	P	1.083
28183		16.06	A	0.168
1007	1.346	711	P	1.346
15284		4.589	A	1.206
3475	1.188	"2,121"	P	1.188
10264	1.484	"1,266"	P	1.484
32720		4.899	A	1.128
5707	1.159	54.61	P	1.159
3317	0.7	168.8	P	0.7
11696		4.702	A	1.69
22517	1.073	54.33	P	1.073
21086	1.355	312.2	P	1.355
43876	1.041	"18,111"	P	1.041
28338		3.895	A	1.384
7926		18.1	A	0.635
10153	1.312	"16,971"	P	1.312
1115	1.125	"104,359"	P	1.125
13309	1.218	"1,853"	P	1.218
22514	1.25	272.7	P	1.25
14295	1.41	"2,263"	P	1.41
42724	1.807	752.6	P	1.807
15344	1.144	32.35	P	1.144
6234	1.252	"1,564"	P	1.252
15332	0.909	"1,417"	P	0.909
14861		5.118	A	1.641
988	1.441	"21,630"	P	1.441
7446	0.187	74.17	P	0.187
2882	0.145	54.35	P	0.145
18453	0.83	"2,571"	P	0.83
23096		3.568	A	1.388
11874	0.994	"2,111"	P	0.994
28810	1.233	"7,514"	P	1.233
27873		4.309	A	1.481
27662	0.928	25.87	P	0.928
12944	0.809	167.4	P	0.809
3254		4.812	A	1.396
19475	0.636	255.9	P	0.636
10826	0.548	"3,585"	P	0.548
12433	1.076	299.4	P	1.076
5217	0.692	"3,075"	P	0.692
4243	1.289	25.25	P	1.289
41887		5.427	A	1.555
17688	1.714	436.3	P	1.714
20860	0.667	64.55	P	0.667
2791	0.789	146.9	P	0.789
18545	0.911	"2,532"	P	0.911
18232		10.07	A	1.564
15697	1.73	346.9	P	1.73
578	0.731	372.4	P	0.731
1306	0.814	"2,760"	P	0.814
15582	0.565	"20,921"	P	0.565
2428	1.299	"1,969"	P	1.299
15165	0.9	139.2	P	0.9
14830	0.93	"4,185"	P	0.93
9271	0.913	"4,285"	P	0.913
15689	1.216	405.9	P	1.216
19184		6.541	A	2.042
4826		5.08	A	0.835
1171	0.771	751	P	0.771
14103	1.041	78.83	P	1.041
37919	0.939	423.1	P	0.939
21143	1.173	"2,291"	P	1.173
16648	0.361	75.43	P	0.361
13238	1.456	210.5	P	1.456
7923	0.855	939.7	P	0.855
37897	0.431	"4,138"	P	0.431
1883	0.695	"4,067"	P	0.695
33973	1.196	"2,043"	P	1.196
34021		4.875	A	0.639
10393	1.039	146.6	P	1.039
25050	0.665	106.9	P	0.665
25555	0.98	"5,101"	P	0.98
1625	1.291	30.27	P	1.291
5453	0.994	"1,894"	P	0.994
17606	1.33	"2,206"	P	1.33
4735	0.959	"23,282"	P	0.959
18336	1.052	740.2	P	1.052
2116	1.4	773	P	1.4
9559	1.476	387.5	P	1.476
10690	0.96	984.2	P	0.96
31903	0.854	"3,966"	P	0.854
33603	0.936	"1,180"	P	0.936
4966	0.991	65.45	P	0.991
13903	0.944	168.8	P	0.944
16127	0.992	"4,939"	P	0.992
33506	1.101	"2,419"	P	1.101
19093	0.66	896.5	P	0.66
16459	0.837	"1,929"	P	0.837
13515	1.603	"1,212"	P	1.603
12843	0.862	"5,425"	P	0.862
8869	1.308	339	P	1.308
6217	1.323	102.4	P	1.323
26139	1.004	745.4	P	1.004
30277	2.521	242.9	P	2.521
40330	2.933	185.7	P	2.933
